scenario_id,model_type,strategy,step,labeled_count,val_r2_avg,val_loss,elapsed_s,val_r2_img_0,val_rmse_img_0,val_r2_img_1,val_rmse_img_1,val_r2_img_2,val_rmse_img_2
v2i_a_simple,vector_to_image,random,0,49,-0.2745120946835774,1.3020450639724732,10.04,-0.05714320766687253,0.9082597154582934,-0.14719157935876837,0.8215199332745666,-0.22675115546401248,1.0252257362006711
v2i_a_simple,vector_to_image,random,1,113,-0.02566490154693431,1.0521479535102845,7.98,-0.0008161045602328443,0.8837313930431582,0.11134555762277454,0.7230470997712913,0.011877930726436947,0.9201244294880103
v2i_a_simple,vector_to_image,random,2,177,0.23218689727821032,0.7938853144645691,9.99,0.2994610684250658,0.7393656638885071,0.3616295732734104,0.6128250511161235,0.24900891178014217,0.8021556624843551
v2i_a_simple,vector_to_image,random,3,241,0.4502217070301411,0.5720548701286315,10.11,0.4899296149773409,0.6308966112757273,0.5708147475249601,0.5024843331710499,0.5033217274439001,0.652347260399168
v2i_a_simple,vector_to_image,random,4,305,0.615880032841021,0.4023737132549286,10.26,0.5703293943035603,0.5790431952706124,0.6953497092156595,0.42335133031391314,0.6711704663854832,0.5307948128701435
v2i_a_simple,vector_to_image,random,5,369,0.7276643090828431,0.2869790315628052,10.65,0.6321298130419961,0.5357848593247719,0.7530119451378147,0.38118702125731546,0.7584305473611843,0.45494853355706844
v2i_a_simple,vector_to_image,huds,0,49,0.13756895519197232,0.8713822555541992,7.37,-0.26444550435281866,0.9933291916850628,0.4226880610462581,0.5827810207196137,0.3840221816279278,0.7264802272632814
v2i_a_simple,vector_to_image,huds,1,113,0.44399678627888595,0.5713660168647766,9.85,-0.15905531947032614,0.9510322021790049,0.44771052917504406,0.5700113615022847,0.4454381834285892,0.6893126422595856
v2i_a_simple,vector_to_image,huds,2,177,0.5824518630504223,0.431588613986969,9.42,0.04241272237299798,0.8644349628241684,0.6063936700437852,0.4812061480284737,0.6408649767015473,0.5547152965601455
v2i_a_simple,vector_to_image,huds,3,241,0.6565395091806564,0.35311638355255126,9.43,0.23483711409041064,0.7727163266328064,0.6988184085551131,0.42093432554423116,0.7007469617024698,0.5063613465549203
v2i_a_simple,vector_to_image,huds,4,305,0.7097040779700508,0.29407832145690915,11.55,0.3529899056123349,0.7105565848079034,0.7064044328643893,0.4155993669482828,0.7461596911232473,0.46636028136226243
v2i_a_simple,vector_to_image,huds,5,369,0.7438799117601138,0.25669635593891144,12.13,0.35386266094844454,0.7100771863211033,0.68148076986862,0.4328804366431306,0.7760040156463842,0.43808802113675765
