scenario_id,model_type,strategy,step,labeled_count,val_r2_avg,val_loss,elapsed_s,val_r2_y_0,val_rmse_y_0,val_r2_y_1,val_rmse_y_1,val_r2_y_2,val_rmse_y_2
v2v_c_complex,vector_to_vector,random,0,199,0.8615509134255318,0.13214589953422545,15.7,0.8449472364472357,0.3728898588397082,0.8584866650401066,0.3652299287816221,0.875202420708328,0.3673146191909092
v2v_c_complex,vector_to_vector,random,1,263,0.8951141525998102,0.10031409949064254,8.1,0.885320292014652,0.32068903146395045,0.8955973874852317,0.3137063854955394,0.9003986220539144,0.32814652261631705
v2v_c_complex,vector_to_vector,random,2,327,0.9283635415215474,0.06870591655373573,9.68,0.9236713722556599,0.2616281944641063,0.9296776521524746,0.2574627221392181,0.9274030314904049,0.2801524184663451
v2v_c_complex,vector_to_vector,random,3,391,0.943809049761864,0.053854163885116574,15.29,0.9432139435305034,0.22566368295028952,0.9391961922181806,0.23940491617152307,0.9452491079286597,0.24329362697267892
v2v_c_complex,vector_to_vector,random,4,455,0.9556461830582,0.04249634936451912,8.16,0.9524657693564371,0.20646386418239737,0.9588274696583289,0.19700237177880417,0.9556694451528568,0.21892064373333492
v2v_c_complex,vector_to_vector,random,5,519,0.963975806736532,0.03461492635309696,11.03,0.9631799959811648,0.18171163353243408,0.9668008040618771,0.17690147678186427,0.9617574765765102,0.2033332506459237
v2v_c_complex,vector_to_vector,random,6,583,0.9683993104889645,0.030350570231676102,8.05,0.9673906918903677,0.17100610252525808,0.9687614254188122,0.17159841814849602,0.9671019107458179,0.18859078587703226
v2v_c_complex,vector_to_vector,random,7,647,0.9741998893360995,0.024795061685144903,14.75,0.9734588801123917,0.15427673480586712,0.9759907273008298,0.1504378707315248,0.972527539150092,0.17233913728668404
v2v_c_complex,vector_to_vector,random,8,711,0.975752665275541,0.023314029276371002,9.36,0.9757953013892371,0.14732981938754003,0.9762280968642808,0.14969236560851337,0.974190819318108,0.16704067719755142
v2v_c_complex,vector_to_vector,random,9,775,0.9793835753202316,0.01970620349049568,10.94,0.9772192331615113,0.14293052414305626,0.9801435659095963,0.13681014555789886,0.980565966548771,0.14494946140444837
v2v_c_complex,vector_to_vector,random,10,839,0.982876948778028,0.016471776217222213,17.01,0.9820702396311052,0.12680257105777826,0.9848432524462075,0.1195282839026633,0.9812235668414367,0.14247598915079213
v2v_c_complex,vector_to_vector,huds,0,199,0.8756024206008518,0.11888902842998504,12.89,0.8624214940897447,0.35124982065123683,0.8833456434336335,0.33160277553313,0.8825987710278015,0.35626360206030044
v2v_c_complex,vector_to_vector,huds,1,263,0.9148471295121237,0.0816321188211441,10.73,0.9084887765109407,0.28646924120271133,0.9223482840406431,0.2705473001152119,0.9135407496594111,0.30573197779787337
v2v_c_complex,vector_to_vector,huds,2,327,0.9363231695270359,0.061097825765609744,14.5,0.9299073378120598,0.25071313899564596,0.9439459757905927,0.22986406044784766,0.9335306556873161,0.2680685284725971
v2v_c_complex,vector_to_vector,huds,3,391,0.9502266872934545,0.047689017802476884,9.15,0.9453483938924193,0.2213819872370222,0.9542797587334153,0.2075974107224088,0.9500232995341895,0.2324443118355429
v2v_c_complex,vector_to_vector,huds,4,455,0.9585556425389905,0.039843129366636275,7.07,0.9567275847267362,0.19699100003424364,0.9608960298298858,0.1919897761048059,0.9555661946639259,0.21917543997164776
v2v_c_complex,vector_to_vector,huds,5,519,0.9684681901253254,0.030161819159984588,10.93,0.9635040013141261,0.18091036211985267,0.9749946244007188,0.15352685972803531,0.9686745336412456,0.18402799973287218
v2v_c_complex,vector_to_vector,huds,6,583,0.9702081111403172,0.028487872630357743,5.77,0.9661658598658255,0.17418806255842617,0.9760078488193761,0.15038422095648207,0.9707682492786047,0.1777716675528564
v2v_c_complex,vector_to_vector,huds,7,647,0.9777559185410325,0.021325667425990104,12.74,0.9754752529446225,0.14830066047087212,0.9804115349107567,0.13588386123118762,0.977199409653015,0.15700308240385813
v2v_c_complex,vector_to_vector,huds,8,711,0.9793986251620279,0.019717729464173318,17.3,0.9769490368599902,0.1437756550424584,0.982924039951019,0.12687038001332251,0.9794678235977455,0.1489884583790178
v2v_c_complex,vector_to_vector,huds,9,775,0.9815668453139658,0.017672590017318725,8.38,0.9790902355048073,0.1369352905124119,0.984351781293227,0.12145072995044105,0.9809316315683124,0.14357932269265714
v2v_c_complex,vector_to_vector,huds,10,839,0.9837208881964311,0.015657133385539056,11.23,0.9832115101993787,0.1227005847339661,0.9832365680845725,0.1257040132075444,0.9826325687583932,0.13702598324366025
