scenario_id,model_type,strategy,step,labeled_count,val_r2_avg,val_loss,elapsed_s,val_r2_y_0,val_rmse_y_0,val_r2_y_1,val_rmse_y_1
v2v_a_simple,vector_to_vector,random,0,49,0.28445464039227997,0.7399429559707642,2.42,0.1551666030791946,0.9451218811743147,0.4137426777053653,0.7659180740118509
v2v_a_simple,vector_to_vector,random,1,113,0.9112058440223575,0.09181405514478684,1.67,0.8954325607412712,0.3325067894267878,0.9269791273034438,0.27030973548852905
v2v_a_simple,vector_to_vector,random,2,177,0.9719846691722056,0.028945262655615808,1.21,0.9678152255682093,0.18447075108436364,0.9761541127762019,0.1544702754121591
v2v_a_simple,vector_to_vector,random,3,241,0.9912845492887115,0.008966559693217278,1.03,0.9913349994428197,0.09571644908401149,0.9912340991346034,0.09365618332796467
v2v_a_simple,vector_to_vector,random,4,305,0.9933391902184039,0.006855276767164469,0.85,0.9932875541364935,0.08424471767921463,0.9933908263003143,0.0813226947148775
v2v_a_simple,vector_to_vector,random,5,369,0.9942561180393783,0.005921395942568779,1.02,0.993865163248897,0.08053854630414077,0.9946470728298595,0.07318698313355043
v2v_a_simple,vector_to_vector,huds,0,49,0.8047466900620522,0.20196149826049806,1.62,0.7676770651777536,0.49561942991728297,0.8418163149463509,0.3978496885008018
v2v_a_simple,vector_to_vector,huds,1,113,0.9643761914433323,0.036783372461795805,3.24,0.9598831157058688,0.2059519361517728,0.9688692671807958,0.1764951802364666
v2v_a_simple,vector_to_vector,huds,2,177,0.9898061222688204,0.010493738800287247,1.98,0.9896479185195745,0.10462033877295931,0.9899643260180664,0.10021008955294516
v2v_a_simple,vector_to_vector,huds,3,241,0.9915130131466373,0.00871651116758585,0.73,0.9920915308842022,0.0914425845729871,0.9909344954090724,0.09524324180541438
v2v_a_simple,vector_to_vector,huds,4,305,0.9952382588779335,0.004889941439032554,2.53,0.9955832183177189,0.0683368958880007,0.9948932994381481,0.07148392238705466
v2v_a_simple,vector_to_vector,huds,5,369,0.995363648739209,0.004771947562694549,1.33,0.9953194162336366,0.07034808702840606,0.9954078812447814,0.06778673766627967
