scenario_id,model_type,strategy,step,labeled_count,val_r2_avg,val_loss,elapsed_s,val_r2_ts_0_0,val_rmse_ts_0_0,val_r2_ts_1_0,val_rmse_ts_1_0,val_r2_ts_2_0,val_rmse_ts_2_0
v2ts_a_simple,vector_to_time_series,random,0,49,-0.032878353025390564,1.0327451491355897,3.33,-0.05685558783937594,1.0317874951580168,-0.013235035097679315,1.2738377047274319,-0.002408763253193724,1.065099932729084
v2ts_a_simple,vector_to_time_series,random,1,113,0.19272973921635,0.7436185526847839,5.82,0.7775047058596285,0.47341591216531304,0.9096859842039422,0.3803089773529576,0.8467964495412046,0.416391969311918
v2ts_a_simple,vector_to_time_series,random,2,177,0.2607630209086966,0.669685423374176,2.67,0.7886828471365597,0.46137048846921713,0.8542674821692835,0.48310021928894564,0.8461721152768471,0.41723954580917955
v2ts_a_simple,vector_to_time_series,random,3,241,0.5324600386030864,0.4346772372722626,3.63,0.7775704090860708,0.4733460067552377,0.9323079820900521,0.3292514762083283,0.9151195296526277,0.30993585359739867
v2ts_a_simple,vector_to_time_series,random,4,305,0.712950056951229,0.266574798822403,5.43,0.8034748900681883,0.4449297648156792,0.9493020473904342,0.28494051901113915,0.9144493473698121,0.31115701272847407
v2ts_a_simple,vector_to_time_series,random,5,369,0.7992807213959032,0.188303861618042,3.63,0.8268743557252103,0.41760254566644234,0.9431454049813464,0.3017461833751526,0.9403096977968012,0.25990810257577396
v2ts_a_simple,vector_to_time_series,huds,0,49,0.004424488920998071,0.9935521650314331,4.72,0.7528806372423522,0.49892564082827096,0.006877088633600259,1.2611318705880685,-0.004374677878697719,1.0661438531263931
v2ts_a_simple,vector_to_time_series,huds,1,113,0.14175165127317108,0.773376829624176,7.11,0.754674227165586,0.49711174480848896,0.8215526309246671,0.5345816844933183,0.7762247739100503,0.5032385846143212
v2ts_a_simple,vector_to_time_series,huds,2,177,0.12775235838625149,0.7547838854789733,1.78,0.7322819011171678,0.5193035629238328,0.8589940644076153,0.4752013849707464,0.7463391845719747,0.5357900226468727
v2ts_a_simple,vector_to_time_series,huds,3,241,0.2323189197460124,0.6704298710823059,2.4,0.7699743510629419,0.48136063169163534,0.8868943311112928,0.4255995760619969,0.8600156112019832,0.3980226002759764
v2ts_a_simple,vector_to_time_series,huds,4,305,0.4495298370794685,0.5028152537345886,4.62,0.7754609211012442,0.47558528036742914,0.9092692476696919,0.3811853985572579,0.8927728621775721,0.3483535869331359
v2ts_a_simple,vector_to_time_series,huds,5,369,0.6059574214906205,0.3615153026580811,3.4,0.8220833381306883,0.4233414050969813,0.9472413938869255,0.29067364519609307,0.9228151371764516,0.29555206510571885
