scenario_id,model_type,strategy,step,labeled_count,val_r2_avg,val_loss,elapsed_s,val_r2_img_0,val_rmse_img_0,val_r2_img_1,val_rmse_img_1,val_r2_img_2,val_rmse_img_2
v2i_b_medium,vector_to_image,random,0,99,0.09509363820438796,0.7554570317268372,17.88,-0.05033852766122915,1.1453487061895473,-0.016461445540366437,1.1268739408315744,-0.014022267845956282,1.0849488797677849
v2i_b_medium,vector_to_image,random,1,163,0.27498735883937514,0.6079365468025207,16.25,-5.395159126120319e-07,1.1175660462374692,0.17469862730221464,1.015397674336199,0.19789352832833174,0.9649427331221441
v2i_b_medium,vector_to_image,random,2,227,0.3924240415730462,0.5122023785114288,16.85,-0.05506045120998748,1.147920345785157,0.30788585615018405,0.9298625198228803,0.35101148178321206,0.867968644198031
v2i_b_medium,vector_to_image,random,3,291,0.4476254501832392,0.4662132704257965,17.46,-0.20018262093894945,1.2243250865894406,0.41546205881075404,0.8545475500940913,0.46316212452757377,0.7894181442405006
v2i_b_medium,vector_to_image,random,4,355,0.46057705305763047,0.4549793076515198,16.0,-0.34010929901670384,1.2937286381407245,0.48733085038415147,0.8002919947243259,0.5291823428629352,0.7392850103535663
v2i_b_medium,vector_to_image,random,5,419,0.4647765105445173,0.45134607315063474,9.13,-0.40665628974828594,1.3254613784498899,0.5112036218903021,0.7814368193407114,0.5444817945684806,0.7271740949676172
v2i_b_medium,vector_to_image,random,6,483,0.4682165824117409,0.4483296203613281,7.38,-0.44561664238263354,1.343691751340075,0.5267503654791451,0.7689091415476299,0.555628703135961,0.7182217108522759
v2i_b_medium,vector_to_image,random,7,547,0.47156200552555716,0.44548123836517334,17.76,-0.49808971440745453,1.367861079758128,0.5434622212986917,0.7552108857593504,0.576103378317431,0.7014803457214432
v2i_b_medium,vector_to_image,random,8,611,0.47673075687965494,0.44135248780250547,23.09,-0.49143137092865863,1.3648179271109127,0.5365976650774175,0.760867422256468,0.5646180641476667,0.7109200007487566
v2i_b_medium,vector_to_image,huds,0,99,0.3705968778943759,0.5259739983081818,17.73,0.22012504080912243,0.9869282248992625,0.3590610302736459,0.894825227671163,0.2893763559178867,0.9082498950119959
v2i_b_medium,vector_to_image,huds,1,163,0.7076066857158257,0.24721058070659638,20.42,0.6443202352332952,0.6665038471016325,0.7519480736109944,0.5566743141314491,0.7725428020704791,0.513848830004708
v2i_b_medium,vector_to_image,huds,2,227,0.7980342446794289,0.17039391219615938,18.24,0.7131596955475867,0.5985399856127132,0.8307889560496474,0.4597738142913213,0.8454924252329961,0.42350682881171203
v2i_b_medium,vector_to_image,huds,3,291,0.8284414478445689,0.1433437216281891,18.98,0.7060405065709228,0.6059221469689442,0.8290731359420712,0.4620990152807336,0.8495783354019824,0.4178695494342865
v2i_b_medium,vector_to_image,huds,4,355,0.8480648101260486,0.12647908329963684,14.06,0.7515103306293541,0.5570924216006229,0.8478716513024506,0.4359482676448049,0.869071759392517,0.38985418049244813
v2i_b_medium,vector_to_image,huds,5,419,0.8654505022285366,0.11177264630794526,12.97,0.757769431772102,0.5500314916819207,0.8620978912836978,0.41506425532036495,0.8736875649947933,0.3829204700399359
v2i_b_medium,vector_to_image,huds,6,483,0.8845133292411876,0.09696528643369674,20.87,0.7896141068445284,0.5126032902764989,0.8674373283325612,0.40694948645784984,0.8789323263530083,0.37488635064287773
v2i_b_medium,vector_to_image,huds,7,547,0.8922445609493251,0.09062273144721984,13.69,0.7461677761338855,0.5630493465988579,0.8725254806095862,0.39906310031485087,0.8855018178059689,0.36457327159237324
v2i_b_medium,vector_to_image,huds,8,611,0.9012901491897496,0.0832083123922348,22.12,0.7779317797034436,0.5266429653921302,0.8924441282403297,0.3665615792921976,0.9043094132492238,0.33328835395301915
