scenario_id,model_type,strategy,step,labeled_count,val_r2_avg,val_loss,elapsed_s,val_r2_img_0,val_rmse_img_0,val_r2_img_1,val_rmse_img_1,val_r2_img_2,val_rmse_img_2
v2i_c_complex,vector_to_image,random,0,199,0.2996291714178933,0.6911324524879455,125.35,0.07790872554501438,1.0755106188173909,0.17343249133927185,0.9672868833630914,0.1496540532715388,1.0244132016752319
v2i_c_complex,vector_to_image,random,1,263,0.436624233512817,0.5605843806266785,119.54,0.24154472712082364,0.9754224207534623,0.4660925490354183,0.7774082133907795,0.4761612993949561,0.8040371840132082
v2i_c_complex,vector_to_image,random,2,327,0.46920204262795134,0.5292473697662353,120.72,0.2382041835784071,0.9775681379709895,0.49574870903874724,0.7555090016710073,0.5039729676315903,0.7824021158647028
v2i_c_complex,vector_to_image,random,3,391,0.49164432016167536,0.5080919194221497,121.51,0.13986374388432987,1.0387508055318093,0.5685231944257061,0.6988675267483995,0.5726238399526042,0.7262438872091783
v2i_c_complex,vector_to_image,random,4,455,0.5058283527032877,0.494148371219635,133.46,0.09520859275549831,1.0653737212720036,0.6028528587961094,0.6704893040440448,0.6335421820415116,0.6724954329359732
v2i_c_complex,vector_to_image,random,5,519,0.5140772860009156,0.4863346815109253,81.91,0.07541534995880217,1.076963751286167,0.6239925073041697,0.6524006475322606,0.6523404456046749,0.6550198002287786
v2i_c_complex,vector_to_image,random,6,583,0.5231838113153294,0.47757439732551576,95.15,0.15726940986969773,1.0281870407930345,0.6543735633280755,0.6254889053504589,0.6881629306738066,0.6203563238912955
v2i_c_complex,vector_to_image,random,7,647,0.5302126454910235,0.47063331127166746,78.97,0.19600213910786124,1.0042808768317,0.667435747037102,0.6135555890278632,0.6951364403765721,0.6133806928533017
v2i_c_complex,vector_to_image,random,8,711,0.5359341633989435,0.46496838092803955,87.94,0.14788725551432735,1.0338946234025226,0.6719789911734486,0.6093502081206892,0.6978652663712084,0.6106293446849914
v2i_c_complex,vector_to_image,random,9,775,0.5396340960136425,0.46114652752876284,81.28,0.17293278384170063,1.0185870481640722,0.6785089567863076,0.6032545035522913,0.713318181602029,0.5948088462260299
v2i_c_complex,vector_to_image,random,10,839,0.7093946832929904,0.28913315773010256,172.71,0.37918333979102514,0.8824892586424182,0.5401812589584458,0.7214553658491516,0.6612492658278539,0.6465728527488881
v2i_c_complex,vector_to_image,huds,0,199,0.20300910461870614,0.7916737055778503,114.99,-0.1053481497649329,1.1775443981618139,0.12800628059897523,0.9935113028027464,0.20758175836727222,0.9889050072331055
v2i_c_complex,vector_to_image,huds,1,263,0.2158268356015153,0.7757179999351501,70.03,0.08149147993248507,1.0734191552379388,0.1791895865078278,0.9639123899324461,0.19102983740557478,0.9991796849830696
v2i_c_complex,vector_to_image,huds,2,327,0.2799781002020392,0.704423439502716,134.29,0.044744100290011746,1.094681076871708,0.022660721156381403,1.051813668969465,0.01573110024491886,1.102133555343598
