scenario_id,model_type,strategy,step,labeled_count,val_r2_avg,val_loss,elapsed_s,val_r2_ts_0_0,val_rmse_ts_0_0,val_r2_ts_0_1,val_rmse_ts_0_1,val_r2_ts_0_2,val_rmse_ts_0_2
v2ts_c_complex,vector_to_time_series,random,0,199,0.051416482930476654,1.1867314434051515,37.97,0.46010095058626155,0.7386938796143123,0.5167923255209432,0.7036834766178147,0.5544699037038483,0.6761951870840593
v2ts_c_complex,vector_to_time_series,random,1,263,0.08696726756774667,1.1462886238098144,31.88,0.5681246554973532,0.6606743177344037,0.5830926173384237,0.6536273775753937,0.5827746363179354,0.6543632532599031
v2ts_c_complex,vector_to_time_series,random,2,327,0.05539724970928539,1.181851019859314,9.9,0.5787928531495665,0.6524632950718519,0.6067096062732442,0.6348441340626131,0.6279411781768809,0.6179301064534308
v2ts_c_complex,vector_to_time_series,random,3,391,0.0995216263954563,1.1313103914260865,19.85,0.6308928637534638,0.6107794832969287,0.6634961638761196,0.587226237074611,0.6725386169092451,0.5797137453333293
v2ts_c_complex,vector_to_time_series,random,4,455,0.1490677515000658,1.0692152929306031,35.42,0.656413314723165,0.589286351020544,0.6950332766936924,0.559032000110037,0.7079794128946011,0.5474447394119696
v2ts_c_complex,vector_to_time_series,random,5,519,0.18158650448194952,1.021265835762024,43.05,0.6799251096959482,0.5687665172624493,0.6881043420222143,0.5653470184653582,0.6753216314775854,0.5772450659753847
v2ts_c_complex,vector_to_time_series,random,6,583,0.1854565350248253,1.0176089239120483,14.81,0.6964169102083715,0.5539199509161516,0.7226990777125728,0.5330722789238966,0.7291209265381958,0.527255695292817
v2ts_c_complex,vector_to_time_series,random,7,647,0.20912583195002515,0.9880508422851563,19.92,0.7205641824706188,0.5314339012556678,0.7612543969053658,0.49462735696029764,0.775038064386872,0.48049411402687897
v2ts_c_complex,vector_to_time_series,random,8,711,0.19846594045547056,1.0057213163375855,11.37,0.7310910085397323,0.5213277961589472,0.7839631923764483,0.47051591437341284,0.818014876661081,0.4321668947819057
v2ts_c_complex,vector_to_time_series,random,9,775,0.20946778883552625,0.9853988695144653,21.59,0.7367378574524682,0.5158250453667688,0.8055241289346746,0.44641965182118415,0.847946214877883,0.39503190196310084
v2ts_c_complex,vector_to_time_series,random,10,839,0.22150127130750158,0.9718955659866333,12.25,0.7765225473920239,0.47525322809837733,0.8058638694819497,0.4460295439052296,0.8270760687807469,0.4212705522345432
v2ts_c_complex,vector_to_time_series,huds,0,199,0.036065570439892065,1.2046165513992309,29.73,0.5125326498086973,0.7019092821663601,0.45822322365252555,0.7451104152948925,0.3843295322373069,0.7948912437351169
v2ts_c_complex,vector_to_time_series,huds,1,263,0.06390256242369588,1.173976926803589,25.11,0.572031893531727,0.6576789198520431,0.5821995304876995,0.6543270938120426,0.5618195530772219,0.6705945953917081
v2ts_c_complex,vector_to_time_series,huds,2,327,0.09539172054457268,1.1373725414276123,42.38,0.670553693153352,0.5770328541552517,0.6878554980730728,0.5655725027443261,0.6917207533880371,0.5624782016824527
v2ts_c_complex,vector_to_time_series,huds,3,391,0.06479254838820186,1.1733247995376588,16.25,0.6590920492386718,0.586984704102302,0.6875401994311223,0.5658580743820253,0.7005249931063875,0.554388028789278
v2ts_c_complex,vector_to_time_series,huds,4,455,0.10436099784962045,1.1270240259170532,29.96,0.6340732764618445,0.6081423988023218,0.6439776761451785,0.6040168540458829,0.6499470623002206,0.5993774714693204
v2ts_c_complex,vector_to_time_series,huds,5,519,0.12470161252635703,1.1007660818099976,13.14,0.6255013782440637,0.6152240880426897,0.6506677445215024,0.5983148550162591,0.6763803218932902,0.57630317567659
v2ts_c_complex,vector_to_time_series,huds,6,583,0.13209597626594566,1.0895119285583497,20.14,0.64904044556301,0.5955754044428591,0.6939763706223223,0.5599998651933861,0.7364164888053297,0.5201069670993727
v2ts_c_complex,vector_to_time_series,huds,7,647,0.1903223322525171,1.0172955894470215,44.97,0.7109066489261102,0.5405392951427089,0.7577757191373424,0.4982178454887635,0.7959263950147362,0.45764315413830026
v2ts_c_complex,vector_to_time_series,huds,8,711,0.19966273800224735,1.004392557144165,14.74,0.6797393913687837,0.5689315021631621,0.7386809034720181,0.5174829148110871,0.7949020704454959,0.4587902607359678
v2ts_c_complex,vector_to_time_series,huds,9,775,0.20636037308931782,0.992909665107727,16.98,0.6953304948489605,0.5549102065145743,0.7449591547149609,0.511228799426712,0.7871575257927278,0.46737201167402165
v2ts_c_complex,vector_to_time_series,huds,10,839,0.21463127402735543,0.9827576017379761,24.85,0.7590928174860392,0.49343857011063935,0.7931830110181383,0.4603663239295348,0.8071775400791754,0.44484873659180724
